fight_id,event_id,referee,fighter_1,fighter_2,winner,num_rounds,title_fight,weight_class,gender,result,result_details,finish_round,finish_time,time_format,scores_1,scores_2
1a191251620a84ca,00a905a4a4a2b071,Rich Mitchell,77d7295d1b22c694,9d83f6da776ff7d6,9d83f6da776ff7d6,3,F,Middleweight,M,KO/TKO,Punches to Head At Distance,3,1:09,3 Rnd (5-5-5),,
20f316f96c9e4458,00a905a4a4a2b071,Marc Goddard,881bf86d4cba8578,b9437600497350f3,881bf86d4cba8578,3,F,Middleweight,M,Decision,Unanimous,3,5:00,3 Rnd (5-5-5),88,83
398db40015b3c81c,00a905a4a4a2b071,Jason Herzog,e1d40e8782d80bc2,082eba4cd80f736f,e1d40e8782d80bc2,3,F,Featherweight,M,Decision,Unanimous,3,5:00,3 Rnd (5-5-5),87,85
3e2f00991f511607,00a905a4a4a2b071,Jason Herzog,c2299ec916bc7c56,b909a9a9688b5284,c2299ec916bc7c56,3,F,Lightweight,M,KO/TKO,Punch to Head At Distance,2,0:16,3 Rnd (5-5-5),,
7bced112f3229b1b,00a905a4a4a2b071,Marc Goddard,c21a036b4e012f1c,b7b84ccd221be298,b7b84ccd221be298,3,F,Lightweight,M,Decision,Unanimous,3,5:00,3 Rnd (5-5-5),82,89
810c9da07970c4a6,00a905a4a4a2b071,Marc Goddard,787bb1f087ccff8a,c62fbc117d57b943,787bb1f087ccff8a,5,F,Heavyweight,M,KO/TKO,Punches to Head At Distance,3,4:23,5 Rnd (5-5-5-5-5),,
acc9a109b00a99e1,00a905a4a4a2b071,Rich Mitchell,f1d64ae34e088832,329e403448756217,329e403448756217,3,F,Featherweight,M,Decision,Unanimous,3,5:00,3 Rnd (5-5-5),82,89
b8ca1acdf3dc2f58,00a905a4a4a2b071,Jason Herzog,e1147d3d2dabe1ce,7acbb0972e75281a,e1147d3d2dabe1ce,3,F,Middleweight,M,Decision,Unanimous,3,5:00,3 Rnd (5-5-5),89,82
ca7fd237c16cec84,00a905a4a4a2b071,Rich Mitchell,b4537562f88ac582,7debc13b36343605,7debc13b36343605,3,F,Bantamweight,M,KO/TKO,Punches to Head On Ground,1,3:15,3 Rnd (5-5-5),,
ce62a50e97d497f9,00a905a4a4a2b071,Loic Pora,5e6294b37bbef029,06e4245d16fc5315,5e6294b37bbef029,3,F,Women's Featherweight,F,Submission,Rear Naked Choke,2,4:54,3 Rnd (5-5-5),,
cf9035f2fc2e232f,00a905a4a4a2b071,Loic Pora,36b8f265bcd1b7a4,71505842fb6455c3,36b8f265bcd1b7a4,3,F,Middleweight,M,KO/TKO,Punches to Head In Clinch,1,0:19,3 Rnd (5-5-5),,
fd47032108b85cf0,00a905a4a4a2b071,Rich Mitchell,1e4f273069fb9e85,b4c57a8c2b773e82,1e4f273069fb9e85,3,F,Lightweight,M,Decision,Unanimous,3,5:00,3 Rnd (5-5-5),89,82
