fight_id,round,fighter_id,knockdowns,sig_str_landed,sig_str_attempted,sig_str_percent,total_str,takedowns,head_strike_landed,head_strike_attempts,head_strike_percent,body_strike_landed,body_strike_attempts,body_strike_percent,leg_strike_landed,leg_strike_attempts,leg_strike_percent,distance_strike_landed,distance_strike_attempts,distance_strike_percent,clinch_strike_landed,clinch_strike_attempts,clinch_strike_percent
f46308108eb9261a,3,7447e9f28508106a,0,12,18,66,24,0,8,11,0.73,1,4,0.25,3,3,1.0,4,7,0.57,1,3,0.33
f46308108eb9261a,3,beecb672a279223e,0,4,17,23,35,1,2,13,0.15,0,1,0.0,2,3,0.67,4,15,0.27,0,0,0.0
ce4fc800a7456d18,3,6d1bffff14897645,1,27,57,47,27,0,23,50,0.46,2,3,0.67,2,4,0.5,23,47,0.49,0,0,0.0
ce4fc800a7456d18,3,a53d30163304aa6e,0,8,31,25,13,0,5,25,0.2,3,6,0.5,0,0,0.0,8,31,0.26,0,0,0.0
a2a5809ed8a01b45,1,64d47ef881a437a4,1,20,29,68,21,0,3,9,0.33,9,11,0.82,8,9,0.89,16,25,0.64,4,4,1.0
a2a5809ed8a01b45,1,eae431e70064e046,1,17,33,51,19,0,13,29,0.45,4,4,1.0,0,0,0.0,9,21,0.43,4,5,0.8
aa38e39397dbea72,3,5442f1bc4b47eaf3,0,42,74,56,45,0,33,64,0.52,8,9,0.89,1,1,1.0,42,74,0.57,0,0,0.0
aa38e39397dbea72,3,9d83f6da776ff7d6,1,44,101,43,47,1,33,90,0.37,5,5,1.0,6,6,1.0,40,96,0.42,2,3,0.67
03c1865919daeaa4,3,5ec591b78349ba7e,0,23,46,50,27,1,14,36,0.39,9,10,0.9,0,0,0.0,18,37,0.49,3,7,0.43
03c1865919daeaa4,3,d3f89fa685bd8420,0,10,22,45,10,0,7,17,0.41,3,4,0.75,0,1,0.0,8,20,0.4,1,1,1.0
32cc31b76b32ade1,1,64facb6cc564262d,1,13,17,76,13,0,12,16,0.75,0,0,0.0,1,1,1.0,5,8,0.62,0,0,0.0
