fighter_id,fighter_f_name,fighter_l_name,fighter_nickname,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq
93fe7332d16c6ad9,Tom,Aaron,,,155.0,,,1978-07-13,5,3,0,
15df64c02b6b0fde,Danny,Abbadi,The Assassin,180.34,155.0,,Orthodox,1983-07-03,4,6,0,
59a9d6dac61c2540,Nariman,Abbasov,Bayraktar,172.72,155.0,167.64,Orthodox,1994-02-01,28,4,0,
b361180739bed4b0,David,Abbott,Tank,182.88,265.0,,Switch,,10,15,0,
3329d692aea4dc28,Hamdy,Abdelwahab,The Hammer,187.96,264.0,182.88,Southpaw,1993-01-22,5,0,0,1
841695e02c99a521,Mansur,Abdul-Malik,,187.96,185.0,200.66,Orthodox,1997-10-07,7,0,0,
2f5cbecbbe18bac4,Shamil,Abdurakhimov,Abrek,190.5,235.0,193.04,Orthodox,1981-09-02,20,8,0,
5140122c3eecd307,Daichi,Abe,,180.34,170.0,180.34,Orthodox,1991-11-27,6,2,0,
c0ed7b208197e8de,Hiroyuki,Abe,Abe Ani,167.64,145.0,,Orthodox,,8,15,3,1
c9f6385af6df66d7,Papy,Abedi,Makambo,180.34,185.0,,Southpaw,1978-06-30,10,4,0,
f689bd7bbd14b392,Cyborg,Abreu,,,,,,1980-12-20,0,0,0,
7279654c7674cd24,Klidson,Abreu,White Bear,182.88,205.0,187.96,Orthodox,1992-12-24,15,4,0,1
aa6e591c2a2cdecd,Ricardo,Abreu,Demente,180.34,185.0,,Orthodox,1984-04-27,5,1,0,
1c5879330d42255f,Daniel,Acacio,,172.72,180.0,,Orthodox,1977-12-27,30,18,0,
989b85f6540c86b1,John,Adajar,The Outlaw,175.26,170.0,190.5,Orthodox,1991-06-22,6,2,0,
a77633a989013265,Anthony,Adams,Sugafoot,185.42,185.0,193.04,Orthodox,1988-01-13,8,2,0,
83b00f7597e5ac83,Juan,Adams,The Kraken,195.58,265.0,203.2,Orthodox,1992-01-16,5,3,0,
2620f3eb21c79614,Scott,Adams,,182.88,225.0,,Southpaw,,8,1,0,
79cb2a690b9ba5e8,Zarrukh,Adashev,The Lion,165.1,125.0,165.1,Southpaw,1992-07-29,4,4,0,
1338e2c7480bdf9e,Israel,Adesanya,The Last Stylebender,193.04,185.0,203.2,Switch,1989-07-22,24,4,0,
0e9869d712e81f8f,Sam,Adkins,The Experience,190.5,225.0,,Orthodox,1965-04-26,7,20,2,
7a846fcbf182a7c8,Mohamed,Ado,,180.34,170.0,193.04,Switch,2000-05-03,5,1,0,
ebc5af72ad5a28cb,Nick,Agallar,,172.72,155.0,,Orthodox,1979-01-13,24,6,0,
a08ddd04eaffd81d,Mariya,Agapova,Money Mashka,167.64,125.0,172.72,Southpaw,1997-04-07,10,5,0,
26f4288e83188c61,Kantharaj,Agasa,Kannadiga,,135.0,,,1992-02-16,12,3,0,
501821d7fb7b95c1,Fabio,Aguiar,,182.88,185.0,,,1988-02-10,17,1,0,
44aa652b181bcf68,Marcelo,Aguiar,,177.8,170.0,,Orthodox,,2,3,1,
6cadc0a0ba7dc015,Edwin,Aguilar,Tigre,177.8,185.0,,,,26,19,0,1
8f382b3baa954d2a,Jessica,Aguilar,Jag,160.02,115.0,160.02,Orthodox,1982-05-08,20,8,0,
c051c2e12d692b8a,Jesus,Aguilar,,162.56,125.0,157.48,Orthodox,1996-03-13,11,2,0,
cf946e03ba2e7666,Kevin,Aguilar,Angel of Death,170.18,155.0,185.42,Orthodox,1988-09-07,17,5,0,
ae071698e1a3ccd4,Christian,Aguilera,The Beast,175.26,170.0,182.88,Switch,1991-11-25,14,8,0,
0978385b2bd9ef9b,Nick,Aguirre,Slick,175.26,135.0,187.96,Southpaw,1996-01-15,7,2,0,
9e3dbb9c68ed5d1a,Mike,Aina,Iron,175.26,155.0,,Orthodox,,14,6,1,1
49dea784f6cfed71,Ashiek,Ajim,Peak Physique,172.72,135.0,180.34,Switch,1994-06-19,6,2,0,
2eada40ac8801559,Hitomi,Akano,Girlfight Monster,162.56,135.0,,Southpaw,1974-07-27,18,10,0,
16690d100f995f8f,Omari,Akhmedov,Wolverine,182.88,185.0,185.42,Orthodox,1987-10-12,21,6,1,
b0550072e5f0afa7,Yoshihiro,Akiyama,,177.8,170.0,190.5,Orthodox,1975-07-29,14,6,0,2
1fc64507a0cb38cf,Rostem,Akman,,177.8,170.0,182.88,Switch,1991-12-19,6,2,0,
38b50fd1e1b5b656,Razak,Al-Hassan,,187.96,205.0,,Orthodox,1982-05-14,13,5,0,
597499ac7a5aac62,Abdul-Kareem,Al-Selwady,Pride of Palestine,172.72,155.0,175.26,Orthodox,1995-04-10,15,4,0,
1cf1310684a841f5,Mostapha,Al-Turk,,187.96,245.0,195.58,Orthodox,1973-07-14,6,6,0,
e87a13e02c01331d,Ali,AlQaisi,The Royal Fighter,167.64,135.0,172.72,Orthodox,1990-09-23,8,5,0,
7578cc6bd750206b,Herdem,Alacabek,,187.96,205.0,190.5,Orthodox,1991-06-07,5,1,0,
2144954270be834d,Javi,Alanis,,167.64,135.0,,,,0,4,0,
6d35bf94f7d30241,Amir,Albazi,The Prince,165.1,125.0,172.72,Orthodox,1993-10-27,17,2,0,
9b28292abe3166d5,Brett,Albee,,,225.0,,,,3,2,0,
7bd94b60d7521e4a,John,Albert,Prince,172.72,135.0,172.72,Orthodox,1986-10-13,6,5,0,
c482c8605455a213,Junior,Albini,Baby,190.5,264.0,187.96,Orthodox,1991-03-15,14,6,0,
184b955181bdef52,Wes,Albritton,,177.8,188.0,,Orthodox,,0,1,0,
e76d9f656ceb82ab,Aleksandra,Albu,Stitch,157.48000000000002,115.0,160.02,Orthodox,1990-07-14,3,2,0,
dd1b90eea08887f6,Israel,Albuquerque,,,185.0,,Orthodox,,0,3,0,
39f62b833e4cf126,Juan,Alcain,,,,,,,1,2,0,
7c6e87729e824ef4,Ildemar,Alcantara,Marajo,187.96,185.0,198.12,Orthodox,1982-11-18,21,11,0,
2f95a3c6d58b2aad,Iuri,Alcantara,Marajo,175.26,135.0,180.34,Southpaw,1980-08-04,35,10,0,1
1e38bba6738b7b10,Alfonso,Alcarez,,160.02,145.0,,,1970-06-10,1,3,1,
d26934530dc5b248,Gilbert,Aldana,El Peligro,185.42,250.0,,Orthodox,1977-08-25,6,2,0,
c487223b0289bda9,Hector,Aldana,,180.34,170.0,182.88,Orthodox,1988-08-17,4,3,0,
578ef12674df1e6a,Irene,Aldana,,175.26,135.0,172.72,Orthodox,1988-03-26,15,8,0,
7460ddef986d3144,Jose,Alday,Pochito,170.18,135.0,172.72,Orthodox,1991-09-14,14,6,1,
d0f3959b4a9747e6,Jose,Aldo,,170.18,135.0,177.8,Orthodox,1986-09-09,32,9,0,
6fd953151d981979,JJ,Aldrich,,165.1,125.0,170.18,Southpaw,1992-09-29,13,7,0,
