fighter_id,name,nickname,height_feet,height_inches,weight,reach,stance,dob
7447e9f28508106a,Mackenzie Dern,,5.0,4.0,115.0,63,Orthodox,1993-03-24
beecb672a279223e,Amanda Ribas,,5.0,3.0,115.0,66,Orthodox,1993-08-26
6d1bffff14897645,Santiago Ponzinibbio,Argentine Dagger,6.0,0.0,170.0,73,Orthodox,1986-09-26
a53d30163304aa6e,Carlston Harris,Mocambique,6.0,0.0,170.0,76,Orthodox,1987-07-09
64d47ef881a437a4,Cesar Almeida,Cesinha,6.0,1.0,185.0,74,Orthodox,1988-03-28
eae431e70064e046,Abdul Razak Alhassan,,5.0,10.0,185.0,73,Orthodox,1985-08-11
5442f1bc4b47eaf3,Chris Curtis,Action-Man,5.0,10.0,185.0,75,Orthodox,1987-07-15
9d83f6da776ff7d6,Roman Kopylov,,6.0,0.0,185.0,75,Southpaw,1991-05-04
5ec591b78349ba7e,Christian Rodriguez,,5.0,7.0,145.0,71,Orthodox,1997-12-17
d3f89fa685bd8420,Austin Bashi,,5.0,6.0,145.0,70,Orthodox,2001-09-29
64facb6cc564262d,Punahele Soriano,Puna,5.0,11.0,170.0,72,Southpaw,1992-11-22
681399317dbf4701,Uros Medic,The Doctor,6.0,1.0,170.0,71,Southpaw,1993-04-25
84f727cf0166d6f2,Jose Johnson,Zhakwarius,6.0,0.0,125.0,71,Orthodox,1995-05-20
53c10176e3bc7416,Felipe Bunes,Felipinho,5.0,7.0,125.0,69,Orthodox,1989-10-29
9384e71bca6c409d,Marco Tulio,Matuto,6.0,0.0,185.0,74,Orthodox,1994-06-13
260bd4cef10b033f,Ihor Potieria,Duelist,6.0,3.0,185.0,75,Southpaw,1996-05-29
d945aae53e3e54e6,Thiago Moises,,5.0,9.0,155.0,70,Orthodox,1995-03-23
cfc3e7bb44685289,Trey Ogden,Shamurai,5.0,11.0,155.0,72,Orthodox,1989-11-14
9fe7af8b3fbe00a0,Preston Parsons,Pressure,5.0,11.0,170.0,71,Orthodox,1995-07-15
85497ffd934ecf7e,Jacobe Smith,Cobe,5.0,10.0,170.0,72,Southpaw,1996-01-17
e4faa79383c9f214,Ernesta Kareckaite,Heavy-Handed,5.0,9.0,125.0,71,Orthodox,1998-07-05
fc0a4053eb8a3a59,Nicolle Caliari,,5.0,3.0,125.0,62,Orthodox,1996-11-04
6e344b71421103da,Magomed Gadzhiyasulov,,6.0,2.0,205.0,75,Orthodox,1993-11-04
