fight_id,weight_class,gender,method,round,time,format,referee,fighter1_id,fighter2_id
f46308108eb9261a,Strawweight,F,Submission,3,4:56,5 Rnd,Mark Smith,7447e9f28508106a,beecb672a279223e
ce4fc800a7456d18,Welterweight,M,KO/TKO,3,3:13,3 Rnd,Kerry Hatley,6d1bffff14897645,a53d30163304aa6e
a2a5809ed8a01b45,Middleweight,M,KO/TKO,1,4:16,3 Rnd,Mike Beltran,64d47ef881a437a4,eae431e70064e046
aa38e39397dbea72,Middleweight,M,KO/TKO,3,4:59,3 Rnd,Mark Smith,5442f1bc4b47eaf3,9d83f6da776ff7d6
03c1865919daeaa4,Featherweight,M,Decision - Unanimous,3,5:00,3 Rnd,Chris Tognoni,5ec591b78349ba7e,d3f89fa685bd8420
32cc31b76b32ade1,Welterweight,M,KO/TKO,1,0:31,3 Rnd,Mike Beltran,64facb6cc564262d,681399317dbf4701
8a3281b0d7c168af,Flyweight,M,Submission,1,2:04,3 Rnd,Kerry Hatley,84f727cf0166d6f2,53c10176e3bc7416
8d68863242695224,Middleweight,M,KO/TKO,1,3:04,3 Rnd,Mark Smith,9384e71bca6c409d,260bd4cef10b033f
54fa6e32330a8cca,Lightweight,M,Decision - Unanimous,3,5:00,3 Rnd,Chris Tognoni,d945aae53e3e54e6,cfc3e7bb44685289
58eda5a58a89f739,Welterweight,M,KO/TKO,1,1:13,3 Rnd,Mike Beltran,9fe7af8b3fbe00a0,85497ffd934ecf7e
b33e3a6d15700bb1,Flyweight,F,Decision - Split,3,5:00,3 Rnd,Kerry Hatley,e4faa79383c9f214,fc0a4053eb8a3a59
817cd15077a9419e,Light heavyweight,M,Decision - Unanimous,3,5:00,3 Rnd,Mark Smith,6e344b71421103da,0abcf6bc47191219
f01851055b8309e0,Strawweight,F,KO/TKO,2,4:27,3 Rnd,Chris Tognoni,745fa7b605f8e2da,6c9b66b43663f2f7
192619174bd1ad77,Lightweight,M,Decision - Unanimous,3,5:00,3 Rnd,Kerry Hatley,ca28cdf526d6b6e9,af65aa688d13eedf
00c6a2ef07ca51da,Welterweight,M,TKO - Doctor's Stoppage,3,4:42,5 Rnd,Dan Miragliotta,dc9572dd6ec74859,b9437600497350f3
7521015554088962,Featherweight,M,KO/TKO,3,1:36,3 Rnd,Jason Herzog,d247691a6c0e9034,aa171d55d4b5208f
1a635a5e4551e7d5,Flyweight,M,KO/TKO,3,1:57,3 Rnd,Keith Peterson,5d1b7e3dd9e11074,294aa73dbf37d281
7b1bc4ff776f12c1,Light heavyweight,M,KO/TKO,3,3:44,3 Rnd,Andrew Glenn,71171fc96445bf65,e4277e87a789d687
5238f6470d0557fb,Bantamweight,M,Decision - Split,3,5:00,3 Rnd,Keith Peterson,0232cabbc30a2372,850266b3dc4e506e
