fight_id,fighter_id,round,knockdowns,strikes_att,strikes_succ,head_strikes_att,head_strikes_succ,body_strikes_att,body_strikes_succ,leg_strikes_att,leg_strikes_succ,distance_strikes_att,distance_strikes_succ,ground_strikes_att,ground_strikes_succ,clinch_strikes_att,clinch_strikes_succ,total_strikes_att,total_strikes_succ,takedown_att,takedown_succ,submission_att,reversals,ctrl_time
0005e00b07cee542,578ef12674df1e6a,1,0,31,12,14,3,4,1,13,8,31,12,0,0,0,0,32,13,0,0,0,0,0:00
0005e00b07cee542,578ef12674df1e6a,2,0,32,12,21,5,4,2,7,5,30,10,0,0,2,2,37,17,0,0,0,0,0:00
0005e00b07cee542,578ef12674df1e6a,3,0,25,9,19,4,4,3,2,2,24,8,0,0,1,1,27,11,0,0,0,0,0:03
0005e00b07cee542,578ef12674df1e6a,4,0,42,18,34,13,6,3,2,2,41,17,0,0,1,1,43,19,0,0,0,0,0:00
0005e00b07cee542,578ef12674df1e6a,5,0,55,18,40,13,12,3,3,2,55,18,0,0,0,0,71,32,0,0,0,0,0:00
0005e00b07cee542,634e2fb70bde3fd5,1,0,50,21,33,8,10,8,7,5,50,21,0,0,0,0,60,31,3,1,0,0,0:39
0005e00b07cee542,634e2fb70bde3fd5,2,0,47,23,31,10,11,8,5,5,45,21,2,2,0,0,53,27,3,1,0,0,1:19
0005e00b07cee542,634e2fb70bde3fd5,3,0,51,23,38,12,12,10,1,1,27,14,24,9,0,0,67,37,2,1,0,0,2:06
0005e00b07cee542,634e2fb70bde3fd5,4,0,58,39,28,14,24,19,6,6,56,37,2,2,0,0,60,39,3,1,0,0,0:33
0005e00b07cee542,634e2fb70bde3fd5,5,0,95,48,84,37,11,11,0,0,94,47,0,0,1,1,102,53,3,1,0,0,0:39
000da3152b7b5ab1,6da99156486ed6c2,1,1,39,14,33,9,3,2,3,3,26,8,2,1,11,5,45,20,2,1,0,0,1:40
000da3152b7b5ab1,6da99156486ed6c2,2,0,26,13,19,7,6,5,1,1,10,3,0,0,16,10,31,18,3,1,0,0,1:02
